№,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27dp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,4,"10
https://youtu.be/XcH0xnWP20Q",1,2,"22
https://youtu.be/iRVp5MfgTP4","32
https://youtu.be/A_9lxBwaBas
https://vk.com/video-216115749_456239851","3
https://youtu.be/6ffXGTm3FFs",72,"324
https://youtu.be/isXSLnxHd48","7
https://youtu.be/SFEmLzcan0I",4,51,"100
https://youtu.be/dMo71PPv1k0",3,"3
https://youtu.be/GEzrQw85B7g","6,14",1,"199 3238315
https://youtu.be/Hj0wdXKJs5Q",1533 2190194,"399
https://youtu.be/2g8jAyhZfrA
https://vk.com/video-216115749_456239716",14,13,20 22,"16
https://youtu.be/Z1cRs8nvN88
https://vk.com/video-216115749_456239987","26
https://youtu.be/RgzaPgQT2wE",150,1 31 961 29791 923521,72 17730,"202243 48367
249818 16368",4913 15089332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,17,3,"7
https://youtu.be/yTU1rhhCpuY",2,4,"16
https://youtu.be/QaWjO9UTo_E","24
https://youtu.be/JTjI-wzWfBY
https://vk.com/video-216115749_456239852","340
https://youtu.be/DQyh5PrfIws",400,"150
https://youtu.be/XcutK9Prc1w","15
https://youtu.be/ijK9p-FXt-U",4,RECOMMENDED,"240
https://youtu.be/2hTzFDonAL0",3,"11
https://youtu.be/u8h2E_nGIuM",7,4,"499 324
https://youtu.be/PC-VflR2kl4",550 3136,"575
https://youtu.be/cpm1YZljdEc
https://vk.com/video-216115749_456239717",5,4 15,14,"5
https://youtu.be/aHw6lYwElwc
https://vk.com/video-216115749_456239988","32
https://youtu.be/9H3Ex6B07Ec",54,"1 37 1369 50653 1874161
1 41 1681 68921 2825761",499078 550,"192991 55270
250159 116871",15148 29466419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,14,2,"7
https://youtu.be/zFOcNjc-0SQ",2,2,"10
https://youtu.be/r60GpKdij7w","20
https://youtu.be/WL4GD2FJsHE
https://vk.com/video-216115749_456239853","2
https://youtu.be/cv8VqX2QGA0",2340,"29
https://youtu.be/zCHau80vymc","7
https://youtu.be/XrUYuVONHto",1,10,"150
https://youtu.be/9a5hlN9E46M",1,"28
https://youtu.be/J0XVTfhl348","11,27",2,"999 9
https://youtu.be/M36aNZpFO9w",376 7750,"458
https://youtu.be/wAYXceu351I
https://vk.com/video-216115749_456239718",4,3 14,0,"26
https://youtu.be/3KOOhG-RcLQ
https://vk.com/video-216115749_456239990","32
https://youtu.be/0p4oGtqYets",169,48 394450 197225,482303 576,"248442 53053
416668 200087",5896 14078757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,1,"4
https://youtu.be/5OMUNcwO4Vg",1,3,"6
https://youtu.be/bLaY4gesyq8","512
https://youtu.be/aX1P5bGHe8g
https://vk.com/video-216115749_456239854","3
https://youtu.be/Mh0B8vrw3bA",1800,"256
https://youtu.be/wTmJYpkOGE4","5
https://youtu.be/mDmqzfzU0yc",1,ВЕТВЛЕНИЕ,"3
https://youtu.be/TEuhAgydWMU",2,"61
https://youtu.be/Fj3l-famgRo",4,3,"6999 33
https://youtu.be/Sy2EtwG4rTk",2187 6558,"617
https://youtu.be/7WJVSGC5ckU
https://vk.com/video-216115749_456239719",11,16 21,1,"35
https://youtu.be/3Kp31Gxlo38
https://vk.com/video-216115749_456239990","44
https://youtu.be/j5RnrDuCsOk",1280,112 287040 143520,464632 602,"398800 348577
596884 400991",18380 58701760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,16,3,"170
https://youtu.be/id8joUCY4K0",3,1,"31
https://youtu.be/VYwK8tVmgFQ
","16
https://youtu.be/B8pLoMlKDqw
https://vk.com/video-216115749_456239855","4
https://youtu.be/em4GiUBbpwc",15,"496
https://youtu.be/GBOXbt7amVM","13
https://youtu.be/Tp2mNrmDQ98",3,14,"2850
https://youtu.be/LyM5yu2P1Oc",2,"906
https://youtu.be/_6GGfjFdu14",6,1,"520 7
https://youtu.be/4T-fqEoXm-Y",1024 4094,"456
https://youtu.be/KwlrsO_DEEk
https://vk.com/video-216115749_456239720",11,17 20,2,"24
https://youtu.be/qzAWoP5Vj34
https://vk.com/video-216115749_456239991","40
https://youtu.be/wmEy9DjVtHY",891,"80 586224 293112
80 586320 293160",6808 99,"300617 450857
597053 401417",9750 30227250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,22,4,"1985
https://youtu.be/dLROgfIE_3I",1,2,"25
https://youtu.be/Pn2gt64e-SM","2
https://youtu.be/ZYDM2TrIV94
https://vk.com/video-216115749_456239856","5
https://youtu.be/4rvxqCm-TIY",2,"256
https://youtu.be/rr86AvxGTto","7
https://youtu.be/XWvi-6sJ9oA",3,6,"1300
https://youtu.be/soYZMe1Bc6Q",3,"1488
https://youtu.be/8O6d6jlI4VQ",6,2,"16 32 16
https://youtu.be/lQ2VRfrUoDs",1455 4237,"551
https://youtu.be/X2rqJxhsk3I
https://vk.com/video-216115749_456239721",14,23 26,2,"4
https://youtu.be/8nomXVONlQ0
https://vk.com/video-216115749_456239992","84
https://youtu.be/W6pApO8EyAs",362,"1 48 394485 131495
2 48 394500 197250
3 48 394506 197253
4 48 394524 197262
",143518 4,"342486 490371
331747 366041","51 24019058
https://youtu.be/kn8GqbScH50?t=18305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,15,2,"1980
https://youtu.be/ta-pSDB6isQ",3,3,"12
https://youtu.be/jgKjvczGmP8","16
https://youtu.be/9iSMA7h3DTA
https://vk.com/video-216115749_456239857","90
https://youtu.be/cYE8-9pQMXw",10,"61
https://youtu.be/er1KABzJUEs","502
https://youtu.be/NlOW9QjgEPU",3,13,"150
https://youtu.be/LVm5meS79y4",4,"1554
https://youtu.be/VZImZ3B5ktk",13,4,"30
https://youtu.be/vxFZFcpMhHc",1622 5137,"495
https://youtu.be/IAmDDmF1CtI
https://vk.com/video-216115749_456239722",10,15 19,1,"16
https://youtu.be/7Ks99QxxQO4
https://vk.com/video-216115749_456239993","75
https://youtu.be/vbTVjVCJpTg",660," 1 194481 25 441 
2 195364 27 442 
3 196249 3 443 ",63792 600,"450778 451124
331747 366041",110 519880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,16,4,"12
https://youtu.be/d3QTf3XFBnM",3,3,"45
https://youtu.be/j68B7VmTTtY","64
https://youtu.be/hj93EQG9LAE
https://vk.com/video-216115749_456239858","40
https://youtu.be/iaWqYH8jzj8",48,"121
https://youtu.be/4TJENfwTlGU","32 8
https://youtu.be/wIbgFgjP0rM",1,61,"2500
https://youtu.be/Se4V2TgvfYI",4,"7235
https://youtu.be/g1fhuzUowaI",6,3,"22
https://youtu.be/sjs_UDOQzi4",1600 4210,"469
https://youtu.be/lExPy0KbbOM
https://vk.com/video-216115749_456239723",13,20 24,0,"6
https://youtu.be/ytlPho84hA8
https://vk.com/video-216115749_456239994","25
https://youtu.be/fDg8eNIaPvc",4904," 1 249001 3 499
2 251001 9 501 ",5931 800,"455058 449904
366751 398174",37 1824804089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12,2,"7
https://youtu.be/qcvFeWuK0_I",2,2,"9
https://youtu.be/kOQZggajEOY","16
https://youtu.be/G0Uym-75J0A
https://vk.com/video-216115749_456239859","4
https://youtu.be/huc6xNu9sKA",3076,"33
https://youtu.be/OVUnhQ0nibU","181792
https://youtu.be/Ri7eCOkbgWk",2,26,"6
https://youtu.be/36IKJXNXDy8",2,"674
https://youtu.be/YYEvFO69ZdI",7,1,"8
https://youtu.be/clhk9ZtVVbc",2919 9679,"608
https://youtu.be/SrvXLloLi0I
https://vk.com/video-216115749_456239724",7,12 14,2,"141
https://youtu.be/Qme1xe47aGo
https://vk.com/video-216115749_456239995","77
https://youtu.be/lJI9bv2MlKY",5563,405456 4 270302 135151 2 1,573 229,"515933 498987
471077 409201",71 254363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,21,4,"1982
https://youtu.be/TRJnaA-L1qE",2,2,"15
https://youtu.be/Q9a6lBX69Hg","128
https://youtu.be/vHTsVqomyUU
https://vk.com/video-216115749_456239860","3
https://youtu.be/m0WoOPqyTRA",2832,"256
https://youtu.be/5koJTQNhWOU","418 86 
https://youtu.be/SFqZKTagC_0",3,42,"94
https://youtu.be/Ywq2Eg3ssPQ",2,"510
https://youtu.be/EB-mjs9KdOw",6,2,"802165
https://youtu.be/gHNVNGYU8_k",1425 9080,"617
https://youtu.be/0A36pQm_E9U
https://vk.com/video-216115749_456239725","11
https://youtu.be/WO_2P87SLSs","3
https://youtu.be/WO_2P87SLSs","7 8
https://youtu.be/WO_2P87SLSs","134
https://youtu.be/hpYl3cnMiq4
https://vk.com/video-216115749_456239996","301
https://youtu.be/chjOz-7dXUo",5 6 126,574992 967,118 10000,"537476 676445
582108 496996",75 508801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,16,4,"533849
https://youtu.be/a219Rs-2J7I","2
https://youtu.be/8zi5_eMbJsc",1,"36
https://youtu.be/C4ILBcTaDvM","4
https://youtu.be/JcAJA_lVHao
https://vk.com/video-216115749_456239861","2
https://youtu.be/IGeVzhMqabs",10248,"324
https://youtu.be/yzNNgILRw0M","942
https://youtu.be/BddSr_P6CNU",2,27,"200
https://youtu.be/TPvwqK6Kt0g",2,"126
https://youtu.be/bIINfbzVMh4","3, 8, 13, 18",3,"87810480
https://youtu.be/JaMm2UOESoU",494 1874,"5
https://youtu.be/UHDddEuOUx0
https://vk.com/video-216115749_456239726",14,5,9 10,"173
https://youtu.be/WjGaOkaW8-w
https://vk.com/video-216115749_456239997","201
https://youtu.be/ElaFPWqxrdI",14 9 179,"1 2943467
2 2943491
3 2943503
4 2943527",113 9999,"278557 189275
410353 367331",621 103914584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,17,1,"1897
https://youtu.be/AOGt8eJbidE","1
https://youtu.be/r4feGD-R9Vk",2,"20
https://youtu.be/czs62pzSVlM","64
https://youtu.be/WrNfJrGKPyA
https://vk.com/video-216115749_456239862","5
https://youtu.be/Qj3BW_fo9Zo",9224,"37
https://youtu.be/DX2uCzyjs7s","218
https://youtu.be/sT0Y7XSa8Kk",4,31,"100
https://youtu.be/I_WgF3SfJSM",3,"62
https://youtu.be/7bAvagq4JCs","6, 31, 56, 81",2,"40
https://youtu.be/4NvLMmLgfiI",119 9421,"882
https://youtu.be/rFiSzsuoL60
https://vk.com/video-216115749_456239727",15,3,11 12,"115
https://youtu.be/yG6yiMRw61A
https://vk.com/video-216115749_456239998","57
https://youtu.be/hCx9ouZiw6c","1 4 Cccc
2 3 Ccc
3 1 C
4 2 Cc","1 4671071
2 4671077
3 4671097
4 4671101",13 1381,"358310 347120
507819 522848",250 20069147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,28,3,"27679342
https://youtu.be/jBJW31N75OM","3
https://youtu.be/iVffMKhekq8",1,"2400
https://youtu.be/lYrkEPuBIhw","2
https://youtu.be/rjzlshVIkrc
https://vk.com/video-216115749_456239863","128
https://youtu.be/gUm5n_y09no",А216,"175
https://youtu.be/2_Nu9uQbWtM","294
https://youtu.be/C1FrQyxBp2w",2,9,"320
https://youtu.be/FY0zjhazeQ0",3,"30
https://youtu.be/SXT0cmCjVyE","8,72","3
https://youtu.be/2tI0pG91W-I","46
https://youtu.be/rofp430NJJk",26 2586,"8
https://youtu.be/ED392JQHWaY
https://vk.com/video-216115749_456239728",13,4,8 9,"83
https://youtu.be/X-b2kwTALC
https://vk.com/video-216115749_456239999","64
https://youtu.be/TwEAwXpL5lc","1 9 ccccccccC
2 8 cccccccC
3 8 cccccccC
4 6 cccccC
5 7 ccccccC
6 8 cccccccC","1 4202897
2 4202899
3 4202903
4 4202911
5 4202923
",7354 111,"327323 513536
481349 571958",3054 455301718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,17,1,"88479
https://youtu.be/GPRwCyta6Os","2
https://youtu.be/-bKgRn9gZXk",2,"16
https://youtu.be/ue6LATSMbss","5
https://youtu.be/jpUe1TMNvnE
https://vk.com/video-216115749_456239864","20
https://youtu.be/5MoZ0a9wqz8",A120,"781
https://youtu.be/-xecr8SEfno","12
https://youtu.be/12mhGsAygKc",4,22,"1100
https://youtu.be/RdjqdNFgkOE",1,"НВЕА
https://youtu.be/ir-GzcL2zYM","5,80","2
https://youtu.be/YUqga-m3n8A","655360
https://youtu.be/JT0oJxFpzyU",1176 3723,"446
https://youtu.be/cb1rWfpPxs4
https://vk.com/video-216115749_456239729",16,8 15,12,"116
https://youtu.be/O2VDhIRjCgY
https://vk.com/video-216115749_456240000","247
https://youtu.be/CKczz8ioF4g","18
AAACCAAABBBCBBB BBBCCCCCCABCCCC
AAA2ccAAABBB1cB B6ccccccAB4cccc","1 1547347
2 1547383
3 1547389
4 1547407",6111 190,"653743 547501
535049 478586",1063 151540169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11,4,"CHINA
https://youtu.be/ec1Dcqz8ipw","4
https://youtu.be/HWoooHc2VxQ",1,"50
https://youtu.be/Os8Fh9v3ZiA","8
https://youtu.be/UFKGabH3G7s
https://vk.com/video-216115749_456239865","45
https://youtu.be/K40_BU2mwF0",Б6,"369
https://youtu.be/pgkywKhknIA","27
https://youtu.be/9f_B56dKO4U",3,14,"120
https://youtu.be/dTLZMpePSGA",2,"HCEA
https://youtu.be/dshfUTV8ye8","7,56","4
https://youtu.be/QoadYiXcJQQ","121757
https://youtu.be/YMtanIrNVYw",585 9189,"15
https://youtu.be/_XDMuNMyRhA
https://vk.com/video-216115749_456239730",18,9 17,14,"160
https://youtu.be/vBye-TeeCek
https://vk.com/video-216115749_456240001","308
https://youtu.be/akPxxyV_GRc","17
AAACCAAABBBCBBB AABBBBBBCCCABCC
AAA1C!AAABBB2CB BBBB16C!!AB17C!","1 4837187
2 4837201
3 4837213
4 4837219
5 4837223",11493372 4877,"752263 548854
767186 281688",2996 454694482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8,3,"2129900
https://youtu.be/HT50-qLb-C4","3
https://youtu.be/8uO3bIXok8k",2,"405
https://youtu.be/5GdpmPwdpBw","1
https://youtu.be/QiYntHv0jyI
https://vk.com/video-216115749_456239866","80
https://youtu.be/70A5kPV51Qo",115,"2101
https://youtu.be/JwpnCiymtCA","16
https://youtu.be/7LrDVHzmTfM",3,13,"600
https://youtu.be/Lzf9_GiDEv0",3,"DEFA
https://youtu.be/Vq0SeoAkt4M",22,"1
https://youtu.be/5Uyn0j26fuY","180224
https://youtu.be/yok3kwCkZUw",723 -3115,"2936
https://youtu.be/nM8mJTEHsSg
https://vk.com/video-216115749_456239731",21,7 20,18,"6
https://youtu.be/JAg_EsIrheQ
https://vk.com/video-216115749_456240003","232
https://youtu.be/rm2oOaPlDlw","14
AAACBBBCBBBBCCAAAAAABBBBBBBBCCAAAAA
24CCCCCCCCCCCCCCCCCCCCCCCC1024AAABB","1 4301623
2 4301669
3 4301699
4 4301701
5 4301707",331 98715310,"518878 369387
754384 309032",1239 151970679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,13,2,"REPUBLIC
https://youtu.be/KiqDjoXKlpk","3
https://youtu.be/3J9Z2TeVdvY",4,"320
https://youtu.be/n5z1SiXfOi0","10
https://youtu.be/tZKRfMbspnQ
https://vk.com/video-216115749_456239867","95
https://youtu.be/dt4lKRCXCVU",1465,"91
https://youtu.be/5ECYO301d8M
https://youtu.be/gP6fT37tBCw","18
https://youtu.be/D4v-8hpUAoc",4,35,"1000
https://youtu.be/GDHnMBLQ328",3,"ECFA
https://youtu.be/flZgfOBnl0o",4,"4
https://youtu.be/3koEAIwyo8c","92
https://youtu.be/wlNa6cKgB-0",350 -7008,"1874
https://youtu.be/KFGAhjhbhq8
https://vk.com/video-216115749_456239732",41,3,12 38,"24
https://youtu.be/ayxfyTO8tEg
https://vk.com/video-216115749_456240004","52
https://youtu.be/Po7y1H1Lhgg",12 129,"1 2358827
2 2358841
3 2358859
4 2358877
5 2358887",36 34495210,"258853 499656
6165 372336",115110 410884352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,11,4,"69
https://youtu.be/_spo9RBpCqY","4
https://youtu.be/TSrjmrRdvyI",1,"36
https://youtu.be/ld38DNmPHB8","54
https://youtu.be/DPpUfoPN8fM
https://vk.com/video-216115749_456239868","15
https://youtu.be/EU-V--R-K5w",1372,"671
https://youtu.be/KXVgKIJuSK4","34
https://youtu.be/NkBfuqX-2tw",2,17,"390
https://youtu.be/SDzaEVb48Xw",4,"DFDH
https://youtu.be/ZIvz_yMEQGg",5,"3
https://youtu.be/hzwHkz18K98","64
https://youtu.be/AAf6XsFoKR0",2057 192,"8558
https://youtu.be/c_9qsCgODw0
https://vk.com/video-216115749_456239733",34,1,11 32,"22
https://youtu.be/tyDNZEP2z-4
https://vk.com/video-216115749_456240005","39
https://youtu.be/Zcjlex0DPvI",18 145,"1 4730729
2 4730771
3 4730779
4 4730807
5 4730809
6 4730813",4885 900,"408598 447001
244682 591289",64573 189977078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5,3,"76
https://youtu.be/eoOuiUB3-ks","3
https://youtu.be/H45Deo_oT5Q",2,"211
https://youtu.be/exzRluHj-5Q","16
https://youtu.be/WsRESQGvdgk
https://vk.com/video-216115749_456239869","80
https://youtu.be/975st8Gpo0Y",5290,"4651
https://youtu.be/yO9vIqIRrjk","17
https://youtu.be/wrDz7u_C34Q",4,242,"400
https://youtu.be/WHkeXnw7vrg",1,"CECH
https://youtu.be/KEKD2Wf9kB4",6,"3
https://youtu.be/TLyJ7mW8Ts4","842
https://youtu.be/gBmFjOFQrG4",8515 125,"245937
https://youtu.be/a6nbJHZaBrU
https://vk.com/video-216115749_456239734",14,3,12 39,"32
https://youtu.be/bUKRDxI30IY
https://vk.com/video-216115749_456240006","35
https://youtu.be/0USoZhmm8Jg",72 148,"1 2484311
2 2484319
3 2484323
4 2484331
5 2484353
6 2484359",2 50725296,"156151 194521
24156 32378",117046 411037387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,1,"319862
https://youtu.be/KfHO5z95iHE","1
https://youtu.be/vfdCdqIDZ-s",2,"13
https://youtu.be/_jGuYbZPUaE","13
https://youtu.be/my9B6o7tMFw
https://vk.com/video-216115749_456239870","8
https://youtu.be/EKsXPITLsWk",23070,"13
https://youtu.be/yYzHNq6mBLM","18
https://youtu.be/nrAx_pylPqo",8,17,"640
https://youtu.be/ZBC5RUnCIDM",1,"DFBH
https://youtu.be/BvOnCf692-o",3,"1
https://youtu.be/kzGjiIPGfDc","32
https://youtu.be/7bdGfhKi1d8",774 4092,"58963
https://youtu.be/rBjwXO3VpC0
https://vk.com/video-216115749_456239735",21,22 42,24,"11
https://youtu.be/0yzOY35sT9U
https://vk.com/video-216115749_456240007","17
https://youtu.be/lN0rkBL_Ogw",62 155,"1 1371089
2 1371103
3 1371107
4 1371113
5 1371119
6 1371121",3183529 56263918,"116343 78978
54692 305054",61777 190410765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12,4,"30
https://youtu.be/A61BpVVNCAQ","1
https://youtu.be/2wt9L-kXdwo",3,"54
https://youtu.be/cWDu0-VDxU8","200
https://youtu.be/mYw4d_8f6yQ
https://vk.com/video-216115749_456239871","24
https://youtu.be/ZMABSkExChY",60,"113
https://youtu.be/QIiz6vo89G0","5584
https://youtu.be/_XRjy279e7Q",2,186,"7
https://youtu.be/O9D8dEigSso",4,"BFEH
https://youtu.be/Mi7osRiVQPw",4,"4
https://youtu.be/YRvCtVifMzI","285
https://youtu.be/lOJunOqWsiU",851 335,"1986
https://youtu.be/ESXO0bBlaq8
https://vk.com/video-216115749_456239736",25,26 50,28,"19
https://youtu.be/qUcGjnX4zdo
https://vk.com/video-216115749_456240008","17
https://youtu.be/SwkDPi4id9M",19 156,"1 2532433
2 2532437
3 2532449
4 2532451
5 2532479
6 2532487",2351097 54751679,"227239 207534
152027 10776",135266 409953886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,14,4,"207
https://youtu.be/nUFpTQczrxc","1
https://youtu.be/3Nmj7Hsv1ho",2,"100
https://youtu.be/4HxbpUkdjR8","3
https://youtu.be/yvsj0cT5w0c
https://vk.com/video-216115749_456239872","8
https://youtu.be/gQdv8faLEBc",6,"821
https://youtu.be/hD87IgngcS4","71879 70609
https://youtu.be/rYR3u_JZfWY",3,16,"8
https://youtu.be/kMRDb9nJgUo",4,"DFFH
https://youtu.be/Hav95MQG-a8",4,"1
https://youtu.be/NzX2IcX94RI","148176
https://youtu.be/H5PEB1sCXvA",147061  823538,"30
https://youtu.be/hPGvwM_xGW8
https://vk.com/video-216115749_456239737",45,46 90,48,"35
https://youtu.be/n43USDf6Bo0
https://vk.com/video-216115749_456240009","28
https://youtu.be/z-vI-670ugo",22 153,"1 3144509
2 3144527
3 3144529
4 3144539
5 3144551
6 3144571
7 3144587
8 3144599",6000514 99161667,"559397 625605
923413 613488",62276 190343719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,11,3,"19
https://youtu.be/16Jx9QVxE8s","3
https://youtu.be/MuQu1aApjXo",3,"38880
https://youtu.be/A2rT7NlgsJE","1
https://youtu.be/2MkCSE_sihg
https://vk.com/video-216115749_456239873","100
https://youtu.be/5_rJV_sIF38",180,"624
https://youtu.be/1CiSy-eCyd4","15 3
https://youtu.be/5QWR84E4JuQ",7,31,"10
https://youtu.be/LPPgm2yedDU",3,"HBFA
https://youtu.be/lJYkO1FuDew",14,"4
https://youtu.be/GkDI5cQeDso","85400
https://youtu.be/4yNXwc2Y7yo",45  15610,"8
https://youtu.be/3XCOvno2iZM
https://vk.com/video-216115749_456239738",100,150,250 299,"42
https://youtu.be/JRov4OUtjF0
https://vk.com/video-216115749_456240010","55
https://youtu.be/XplbrZTaotQ",2 3,"1 4409981
2 4410019
3 4410041
4 4410047
5 4410061
6 4410079
7 4410097
8 4410101",49867 10002885,"377421 159157
21774 232008",2919 299988174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8,4,"128
https://youtu.be/qPb9TxJ8LvA","2
https://youtu.be/ZVgHI0vq9HM",4,"62305
https://youtu.be/jEOVQYBSFSA","1
https://youtu.be/0RCXbVUKVy0
https://vk.com/video-216115749_456239874","15
https://youtu.be/IbXhOuxlG-I",9,"1008
https://youtu.be/BymGReWgvCA","30
https://youtu.be/DkhKsp8vH5s",2,95,"12
https://youtu.be/nN1phO5RubQ",3,"224
https://youtu.be/WaC9DaVzAbY",14,"3
https://youtu.be/u1wwStH_rbU","48
https://youtu.be/wGLNLPQfc3o",62730 24,"840 82
https://youtu.be/YRikdaJjfmA
https://vk.com/video-216115749_456239739",15,17 30,21,"31
https://youtu.be/ojz1LMFYxPU
https://vk.com/video-216115749_456240011","377
https://youtu.be/L4VymgSMWJY",W 4,"1 3614033
2 3614041
3 3614057
4 3614087
5 3614099
6 3614101
7 3614111",38 884877115,"387672 457153
456857 148050",963 302658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,15,2,"92
https://youtu.be/GNi8BODsclE","4
https://youtu.be/IbLFOlkbkGo",3,"12601
https://youtu.be/AU9mtPkS2x0","6
https://youtu.be/KjCQFWia8XQ
https://vk.com/video-216115749_456239875","180
https://youtu.be/Lq-xBNmiiSc",1380,"765
https://youtu.be/H2DjKsouFR8","61
https://youtu.be/OsluXfdd5JA",12,28,"21
https://youtu.be/EQrME4zCfW4",2,"240
https://youtu.be/JJbvxxJ6dRg",64,"2
https://youtu.be/j3g-EbF-Goc","33
https://youtu.be/k3GBcEgsDc8",2679 14728918,"778 80
https://youtu.be/Gt9HEg7uKEU
https://vk.com/video-216115749_456239740",3,2 19,18,"40
https://youtu.be/Ko6o0_BpMv0
https://vk.com/video-216115749_456240012","28
https://youtu.be/Y5Gj2ag94Jg",9 5,"1 6638227
2 6638231
3 6638249
4 6638251
5 6638263
6 6638273
7 6638299
8 6638321",15 133397333,"387462 693033
84143 311029",3852 399982040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10,3,"386
https://youtu.be/pSPq0Y-MROI","2
https://youtu.be/N5VrlbpBrho",1,"200
https://youtu.be/MBfmAgoESvE","3
https://youtu.be/bb4Wa0PLmZY
https://vk.com/video-216115749_456239876","18
https://youtu.be/-ty0QjLQuJQ",A52,"11504
https://youtu.be/yg51abGctqI","56
https://youtu.be/v8uh5IujBYY",12,6,"17
https://youtu.be/ApjQqAsEbXk",3,"248
https://youtu.be/lCqSkjAqXIs",14,"1
https://youtu.be/qb-LJJAX1uI","91
https://youtu.be/9TngGODMzsM",476 2183841,"875 210
https://youtu.be/kVefioEIVsw
https://vk.com/video-216115749_456239741",6,14 22,21,"11
https://youtu.be/s1rvRCqNB-A
https://vk.com/video-216115749_456240013","70
https://youtu.be/ah7iYnlWqU0",S 6,"1 5336753
2 5336761
3 5336789
4 5336797
5 5336801
6 5336813
7 5336831
8 5336833",423 501,"98281 47844
208564 325844",1320 404632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,16,2,"114
https://youtu.be/D3-KuLtAzOQ","1
https://youtu.be/1ZkxNqiaZhk",2,"192324
https://youtu.be/LOvVTa7Be_k","16
https://youtu.be/VZ-s88aJIc0
https://vk.com/video-216115749_456239877","160
https://youtu.be/OcWktcjf0Qo",A148,"768
https://youtu.be/VXyB8aaJR6w","35
https://youtu.be/mLuyawJOaVw",5,139,"186
https://youtu.be/OW4FxZjZ9eg",1,"252
https://youtu.be/JSOy3MdYyDw",12,"3
https://youtu.be/X_KK1XJPwJ4","384
https://youtu.be/nHBcqOW7mF0",2539 14942988,"859 193
https://youtu.be/YzZwtW-_QJc
https://vk.com/video-216115749_456239742",7,22 24,21,"6
https://youtu.be/bvWBhHYXlhs
https://vk.com/video-216115749_456240014","21
https://youtu.be/BAF403-E9do",K 7,"1 5962477
2 5962499
3 5962519
4 5962547
5 5962549
6 5962573
7 5962577",3851 32,"566258 38951
591893 290926",3852 399981558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10,4,"38
https://youtu.be/-gmSituoSBE",2,9593,"15
https://youtu.be/sSBwtviosRI","512
https://youtu.be/zp_1mxUeXV4
https://vk.com/video-216115749_456239878","35
https://youtu.be/_J7dzyeRhcc",A50,"2560
https://youtu.be/YbMNf3qX7Zs","16
https://youtu.be/Bradkmo-ClM",1,18,"113
https://youtu.be/l_GqHD0h_V0",4,"252
https://youtu.be/5S9TfrydaXM",16,"1
https://youtu.be/FwDareOiXOk","575
https://youtu.be/jdWLMIRqyTk ",2046 9555327,"1216 196
https://youtu.be/34Gc_v1-7NA
https://vk.com/video-216115749_456239743",8,28 30,27,"11
https://youtu.be/IuH_Uz5OMys
https://vk.com/video-216115749_456240015","12
https://youtu.be/Ls_W9FcxUy0",J 5,"1 5408309
2 5408311
3 5408323
4 5408341
5 5408357
6 5408383
7 5408387",7380 285,"790553 22248
670494 317539",1332 406773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
